Unnamed: 0,0000000000,Student ID,Session 22/09/2022,Session 29/09/2022,Session 06/10/2022,Session 13/10/2022,Session 20/10/2022,Session 27/10/2022,Session 03/11/2022,Session 10/11/2022,Session 17/11/2022,Session 24/11/2022,Session 01/12/2022,Session 08/12/2022,Session 15/12/2022,Session 22/12/2022,Session 29/12/2022,Session 05/01/2023,Session 12/01/2023,Session 19/01/2023,Session 26/01/2023,Session 02/02/2023,Session 09/02/2023,Session 16/02/2023,Session 23/02/2023,Session 02/03/2023,Session 09/03/2023,Session 16/03/2023,Session 23/03/2023,Session 30/03/2023,Session 06/04/2023,Session 13/04/2023,Session 20/04/2023,Session 27/04/2023,Session 04/05/2023,Session 11/05/2023,Session 18/05/2023,Session 25/05/2023,Session 01/06/2023,Session 08/06/2023,Session 15/06/2023,Session 22/06/2023,Session 29/06/2023,Session 06/07/2023,Session 13/07/2023,Session 20/07/2023,Session 27/07/2023,Session 03/08/2023,Session 10/08/2023,Session 17/08/2023,Session 24/08/2023,Session 31/08/2023,Session 07/09/2023,Session 14/09/2023,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0230999717,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,3.3,16,,,,,,,,6.3,,,,,,,5,,,,,6.1,,,,,,,,,,3.7,,
1,1,0230108220,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,P,P,A,P,P,A,A,6,42.85714285714285,,12.9,9,,,,,,,,10.3,,,,,,,16,,,,,14.8,,,,,,,,,,17,,
2,2,0231364350,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,12.8,7,,,,,,,,14.4,,,,,,,18,,,,,17.9,,,,,,,,,,14.7,,
3,3,023255060C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A,2,14.285714285714285,,10,10.5,,,,,,,,8.2,,,,,,,16,,,,,10,,,,,,,,,,14.5,,
4,4,023111510D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,P,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,13.7,17,,,,,,,,14,,,,,,,16,,,,,17.1,,,,,,,,,,14.7,,
5,5,023249552B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,17,11.5,,,,,,,,14.7,,,,,,,14,,,,,14.1,,,,,,,,,,17,,
6,6,0231973139,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,P,P,A,A,A,A,A,A,A,A,5,35.714285714285715,,18,13,,,,,,,,15.6,,,,,,,19,,,,,15.6,,,,,,,,,,16.3,,
7,7,0232421650,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,A,A,A,A,A,A,P,A,P,6,42.85714285714285,,17.5,12.5,,,,,,,,14.2,,,,,,,18,,,,,14.7,,,,,,,,,,18,,
8,8,023216904C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,2.4,7,,,,,,,,4.1,,,,,,,0,,,,,1,,,,,,,,,,2,,
9,9,023022572B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,8.6,14.5,,,,,,,,12.3,,,,,,,11,,,,,11.8,,,,,,,,,,14.3,,
10,10,0232637609,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,4.1,12.5,,,,,,,,5,,,,,,,6,,,,,4.1,,,,,,,,,,12.8,,
11,11,0232547750,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,A,A,P,A,P,A,A,A,P,P,8,57.14285714285714,,7.1,6,,,,,,,,4,,,,,,,9,,,,,8.9,,,,,,,,,,12.7,,
12,12,0230901309,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,P,P,P,P,A,A,A,A,A,8,57.14285714285714,,20,15,,,,,,,,17.4,,,,,,,20,,,,,18.3,,,,,,,,,,17.3,,
13,13,0232519054,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,P,P,P,P,A,A,A,A,A,A,A,6,42.85714285714285,,12.3,13.5,,,,,,,,10.5,,,,,,,13,,,,,11.6,,,,,,,,,,17.3,,
14,14,023238892C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,P,A,A,P,A,P,A,P,A,A,8,57.14285714285714,,19,11.5,,,,,,,,14.8,,,,,,,17,,,,,17.4,,,,,,,,,,17.2,,
15,15,0231275945,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,P,P,A,P,P,A,A,A,A,6,42.85714285714285,,11.5,13,,,,,,,,9.3,,,,,,,15,,,,,6.1,,,,,,,,,,16.2,,
16,16,0232374760,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,P,P,P,P,P,A,P,A,P,A,9,64.28571428571429,,16.2,12.5,,,,,,,,17.8,,,,,,,17,,,,,14.4,,,,,,,,,,17.3,,
17,17,023159503B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,10,13,,,,,,,,5.1,,,,,,,ABS_EXAM,,,,,7.8,,,,,,,,,,14,,
18,18,023010972F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,P,P,P,P,A,A,P,A,A,P,9,64.28571428571429,,13.7,12.5,,,,,,,,6.3,,,,,,,15,,,,,10.7,,,,,,,,,,16.7,,
19,19,0232478543,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,4.5,13.5,,,,,,,,6.2,,,,,,,9,,,,,10.6,,,,,,,,,,13.5,,
20,20,0232503318,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,1,7.142857142857142,,2.8,8,,,,,,,,8.5,,,,,,,4,,,,,13.6,,,,,,,,,,11.3,,
21,21,023011922D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,3.2,7.5,,,,,,,,6.9,,,,,,,3,,,,,5.4,,,,,,,,,,14.3,,
22,22,0222128643,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,P,A,A,A,A,A,3,21.428571428571427,,5.8,14.5,,,,,,,,ABS_EXAM,,,,,,,10,,,,,2,,,,,,,,,,11.2,,
23,23,023138314A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,14.6,12,,,,,,,,8.4,,,,,,,11,,,,,7.6,,,,,,,,,,16.7,,
24,24,0232378323,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,P,3,21.428571428571427,,4.2,6.5,,,,,,,,2.2,,,,,,,5,,,,,,,,,,,,,,,11.6,,
25,25,0231567248,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,P,P,P,A,A,P,A,A,A,P,8,57.14285714285714,,20,14.5,,,,,,,,20,,,,,,,20,,,,,19.4,,,,,,,,,,19.3,,
26,26,023087763F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,4.8,13.5,,,,,,,,7,,,,,,,4,,,,,10.1,,,,,,,,,,14.1,,
27,27,0232434610,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,7.4,6,,,,,,,,2.8,,,,,,,5,,,,,ABS_EXAM,,,,,,,,,,12.2,,
28,28,023256040D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,P,P,P,P,P,A,P,A,P,A,11,78.57142857142857,,9.6,6,,,,,,,,6.2,,,,,,,10,,,,,5.7,,,,,,,,,,14.8,,
29,29,0231697511,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,7.1,7,,,,,,,,3.1,,,,,,,11,,,,,6.7,,,,,,,,,,14.5,,
30,30,0232456125,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,ABS_EXAM,13,,,,,,,,10,,,,,,,5,,,,,ABS_EXAM,,,,,,,,,,14.3,,
31,31,023018390D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,P,A,A,A,A,A,A,A,A,3,21.428571428571427,,19.8,15.5,,,,,,,,19,,,,,,,20,,,,,13,,,,,,,,,,17.3,,
32,32,0230204115,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,P,P,A,A,A,A,A,A,P,A,6,42.85714285714285,,16.8,14.5,,,,,,,,14.3,,,,,,,17,,,,,13.6,,,,,,,,,,16,,
33,33,023152592F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,8.7,8.5,,,,,,,,5.7,,,,,,,7,,,,,5.4,,,,,,,,,,12.8,,
34,34,0230315847,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,P,P,P,P,A,A,A,A,A,A,6,42.85714285714285,,12,8,,,,,,,,8.8,,,,,,,8,,,,,7.4,,,,,,,,,,14.2,,
35,35,0210831908,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,P,A,P,A,P,P,A,A,A,A,P,7,50.0,,7.1,13,,,,,,,,6.2,,,,,,,4,,,,,3.2,,,,,,,,,,3.3,,
36,36,0230939806,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,8.5,12.5,,,,,,,,6.1,,,,,,,4,,,,,8.6,,,,,,,,,,13.7,,
37,37,0232586954,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,P,P,P,A,A,A,A,A,A,A,A,6,42.85714285714285,,ABS_EXAM_JUST,ABS_EXAM,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,ABS_EXAM_JUST,,
38,38,023237761C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,ABS_EXAM,13,,,,,,,,ABS_EXAM,,,,,,,6,,,,,ABS_EXAM,,,,,,,,,,16.2,,
39,39,0231990525,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,P,A,P,A,A,A,A,A,P,A,6,42.85714285714285,,9.4,8,,,,,,,,5.5,,,,,,,8,,,,,6.2,,,,,,,,,,12.1,,
40,40,0230147929,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,P,P,P,A,A,A,A,A,A,6,42.85714285714285,,18.5,10.5,,,,,,,,12.8,,,,,,,17,,,,,13.7,,,,,,,,,,17.3,,
41,41,0232059530,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,0,,,,,,,,ABS_EXAM,,,,,,,4,,,,,11.4,,,,,,,,,,15.8,,
42,42,0232528451,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,A,A,A,A,A,2,14.285714285714285,,10.9,ABS_EXAM,,,,,,,,7.1,,,,,,,14,,,,,8.5,,,,,,,,,,14.8,,
